path,engine,dialect,script_id,speaker_ref,difficulty_spoof_prob,verdict
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000105.wav,edgetts,mandarin,SC-000105,zh-CN-YunxiNeural,0.2118,隐蔽(难检)
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-000354.wav,edgetts,sichuan,SC-000354,zh-CN-YunxiNeural,0.2951,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000453.wav,edgetts,mandarin,SC-000453,zh-CN-YunxiNeural,0.3282,边界
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000158.wav,edgetts,mandarin,SC-000158,zh-CN-YunyangNeural,0.3402,边界
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-001491.wav,edgetts,sichuan,SC-001491,zh-CN-YunxiNeural,0.3486,边界
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000110.wav,edgetts,mandarin,SC-000110,zh-CN-YunyangNeural,0.3636,边界
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000202.wav,edgetts,mandarin,SC-000202,zh-CN-YunxiNeural,0.3638,边界
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000398.wav,edgetts,mandarin,SC-000398,zh-CN-YunxiNeural,0.3735,边界
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000053.wav,edgetts,mandarin,SC-000053,zh-CN-YunjianNeural,0.3796,边界
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-000144.wav,edgetts,sichuan,SC-000144,zh-CN-YunxiNeural,0.3873,边界
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-000211.wav,edgetts,sichuan,SC-000211,zh-CN-YunxiNeural,0.3887,边界
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-000125.wav,edgetts,sichuan,SC-000125,zh-CN-YunxiNeural,0.4053,边界
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-001314.wav,edgetts,sichuan,SC-001314,zh-CN-YunxiNeural,0.406,边界
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000085.wav,edgetts,mandarin,SC-000085,zh-CN-YunyangNeural,0.4065,边界
data/redteam/factory/edgetts/dongbei/edgetts_dongbei_zh-CN-liaoning-XiaobeiNeural_SC-001517.wav,edgetts,dongbei,SC-001517,zh-CN-liaoning-XiaobeiNeural,0.4101,边界
