id,category,stage,text,pass2,reason
SC-000084,impersonate_family,pressure,“喂！是这样啊，医生说了，现在病人情况很紧急，要是再不马上交五万押金转院的话，你懂的，就……完了！赶紧把钱转过来，不然现在就要通知医生处理了！”,drop,内容无具体诈骗逻辑，仅泛化威胁，缺乏真实场景细节，AI模板腔明显。
SC-000110,impersonate_family,buildup,奶奶，喂奶奶在不在啊？我出车祸了，十字路口撞个人私了要赔两万块钱。阑尾还在疼，医院急诊要手术，您这月不是刚发退休金嘛，快转一万块救命，我等转账！,drop,内容自相矛盾，车祸与阑尾炎混搭，逻辑荒谬，真实电话不会如此穿帮。
SC-000126,lottery_prize,ask,那个，您好！您提供的项目保证金，要充到我们这个平台账户上，卡号我已经发您了，5000块，尽快转，别跟家里人说！,drop,内容简短无诈骗逻辑，仅要求转账，缺乏类别对应诈骗话术，疑似模板拼凑。
SC-000129,online_loan,ask,哎，那个，您的账户有点问题，需要您配合调查。您先把这个解冻费转到这个账号上哈，等贷款放款的时候，我们再把本金一起还给您。,drop,话术逻辑荒谬，解冻费与贷款放款混为一谈，真实电话不会如此表述。
SC-000136,impersonate_family,pressure,喂，医生那边已经通知了！那个必须在今天下午五点前把押金交上，不然你听我说，你孩子的病根就落下了！,drop,内容无具体诈骗逻辑，仅泛泛威胁，缺乏转账账户等核心诈骗要素，类别不明。
SC-003122,online_loan,ask,喂，您好，是张女士吧？我这边是银行风控的。您刚才有一笔大额转账触发了流水验证，那个验证码发到您手机上了吧？麻烦您现在告诉我一下，我这边系统自动核验，过期就得冻结账户了。,drop,冒充银行索要验证码，但未提及转账金额等具体信息，诈骗逻辑不完整，且无真实诈骗铺垫。
SC-003144,refund_cs,ask,喂，您好，是张女士吧？我是那个理赔客服啊，您刚才申请的退款，最后一步得验证本人身份。那个验证码马上发您手机上了，您看一眼，赶紧念给我听一下，念完钱立马就到账了哈。,drop,无具体诈骗逻辑，仅索要验证码，类别缺失，内容单薄无真实场景支撑。
SC-003216,impersonate_family,buildup,喂，是王先生吗？我女儿的主治医生刚给我来电话，说在医院门口被人打了，手机也摔坏了，他急着要手术押金，说是还差两万块，您听我说，这事儿特别急，我先去银行取钱，您那边能先帮个忙吗？,drop,内容为冒充熟人求助，与标注类别不符，且逻辑荒谬，无真实诈骗链。
SC-003217,impersonate_family,pressure,喂！你听说了吗？医生说今天二十四点前必须把押金交上，晚一步就耽误治疗了！啊？这可不是闹着玩的，现在、立刻、马上就得办！,drop,无诈骗逻辑，仅催促交押金，无转账诱导或虚构身份，类别缺失。
SC-003356,impersonate_family,pressure,喂，是家属吧？你听我说，明天中午前押金必须交上！大夫说了，晚一步人就没了，你懂吗？现在半小时内到账，一分都不能少！,drop,内容空泛无具体诈骗细节，仅泛泛威胁，缺乏真实诈骗逻辑与对象信息。
SC-003392,fake_investment,pressure,喂！你听说了没？那个名额今晚十二点就截止了！过了这村可没这店了，现在立刻马上转账！,flag,缺乏具体诈骗逻辑，仅催促转账，类别不明，需人工确认。
SC-003443,impersonate_family,pressure,喂！你听我说，医生刚打电话来了，说今天二十四点前押金必须到账，一分都不能少！晚一步治疗就耽误了，人就完了啊！你赶紧想办法，别磨蹭了！,drop,内容为催促缴费，无具体诈骗话术逻辑，类别缺失，疑似模板拼凑。
SC-003508,fake_investment,pressure,喂，你听我说啊，明天系统一关闸，今天这单你抢不上就真完了！现在最后俩名额，赶紧打钱，晚了谁救不了你！,drop,内容空泛无具体诈骗逻辑，仅催促打钱，缺乏类别对应细节，AI模板腔明显。
SC-003660,lottery_prize,ask,喂，您好，是张女士吗？那个，您那个贷款审批已经通过了，但系统显示您需要先充一笔保证金到平台账户里才能放款，卡号我一会儿短信发您，您先操作一下，千万别告诉您父亲啊，他要是知道了该着急了。,drop,贷款诈骗却要求隐瞒父亲，逻辑荒谬，真实电话不会如此，穿帮明显。
SC-003668,elder_healthcare,ask,喂，您好，是王阿姨吗？我这边是康健医疗器械的客服小李啊，就上次跟您提的那个理疗床，厂家搞活动，今天必须得把那一千八定金交上才能给您留一台，您看现在方便吗？我待会把我们财务的银行账号发您，您转过去就行，可千万别声张，更别报警，这优惠名额有限，要是让旁人知道了反而麻烦。,drop,话术生硬，要求不声张不报警不合常理，诈骗逻辑牵强，AI模板腔明显。
SC-003842,online_loan,ask,喂，您好，是张先生吗？我是那个贷款平台的客服。您这笔贷款啊，因为卡号填错被冻结了，得先交一笔三千块的解冻费，转到我们银保监会的安全账户里。您放心，等放款的时候，这笔钱会跟贷款一起打回给您的。时间挺紧的，您看现在方便操作吗？,drop,贷款解冻骗局常见，但标注类别缺失，且无具体诈骗类别对应，内容模板化。
SC-003867,lottery_prize,ask,喂，您好，是王女士吧？我这边是海关清关部的，您那批货到了，但是税费还没交，那个您得赶紧转一下，备注写“个税”，我们财务账号我短信发您，转完马上给您安排发货，不然滞留费天天涨。,drop,类别错配且无诈骗逻辑，海关清关与个税备注矛盾，话术生硬。
SC-003899,lottery_prize,ask,喂，您好，是张先生吧？那个，您之前申请的贷款已经批下来了，不过这边需要您先往平台账户里充一笔保证金，卡号我待会儿发您手机上。您听我说，这事儿千万别跟家里孩子们提，免得他们瞎操心，您赶紧操作一下，晚了额度就没了。,drop,贷款诈骗话术，但标注类别不明，且无具体机构名，逻辑简单，缺乏真实诈骗链铺垫。
SC-003906,elder_healthcare,ask,喂，您好，是李阿姨吗？我这边是那个健康管理中心的小王啊，您上周不是试了那个理疗床特别有效嘛，今儿正好有活动，下午三点前您得先把那个尾款打过来，我待会儿把财务的卡号发您，记住啊，千万别声张，也别找别人问，就咱俩知道这事儿，抓紧办喽！,drop,无真实诈骗逻辑，仅催促转账，且'别声张'生硬，类别不符，AI味重。
