id,speaker,kind,expected,audio
LA_D_2959188,2959,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_2959188.flac
LA_D_2959609,2959,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_2959609.flac
LA_D_1434598,1434,bonafide,allow,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_1434598.flac
LA_D_1434059,1434,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_1434059.flac
LA_D_1434283,1434,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_1434283.flac
LA_D_5820162,5820,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_5820162.flac
LA_D_5820637,5820,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_5820637.flac
LA_D_5290031,5290,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_5290031.flac
LA_D_5290201,5290,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_5290201.flac
LA_D_4910268,4910,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_4910268.flac
LA_D_4910423,4910,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_4910423.flac
LA_D_3443703,3443,bonafide,allow,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_3443703.flac
LA_D_3443299,3443,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_3443299.flac
LA_D_3443410,3443,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_3443410.flac
LA_D_2800113,2800,bonafide,allow,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_2800113.flac
LA_D_2800343,2800,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_2800343.flac
LA_D_2800479,2800,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_2800479.flac
LA_D_2523101,2523,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_2523101.flac
LA_D_2523108,2523,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_2523108.flac
LA_D_8384015,8384,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_8384015.flac
LA_D_8384378,8384,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_8384378.flac
LA_D_1552199,1552,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_1552199.flac
LA_D_1552205,1552,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_1552205.flac
LA_D_1517076,1517,bonafide,allow,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_1517076.flac
LA_D_1517231,1517,bonafide,allow,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_1517231.flac
LA_D_1517144,1517,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_1517144.flac
LA_D_1517317,1517,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_1517317.flac
LA_D_2642581,2642,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_2642581.flac
LA_D_2642614,2642,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_2642614.flac
LA_D_4835175,4835,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_4835175.flac
LA_D_4835735,4835,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_4835735.flac
LA_D_5072627,5072,bonafide,allow,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_5072627.flac
LA_D_5072579,5072,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_5072579.flac
LA_D_5072645,5072,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_5072645.flac
LA_D_9850214,9850,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_9850214.flac
LA_D_1461015,1461,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_1461015.flac
LA_D_1461462,1461,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_1461462.flac
LA_D_4486175,4486,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_4486175.flac
LA_D_4486700,4486,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_4486700.flac
LA_D_8342132,8342,bonafide,allow,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_8342132.flac
LA_D_8342451,8342,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_8342451.flac
LA_D_8342458,8342,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_8342458.flac
LA_D_4864229,4864,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_4864229.flac
LA_D_4864665,4864,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_4864665.flac
LA_D_8867068,8867,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_8867068.flac
LA_D_8867212,8867,spoof,block,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_8867212.flac
LA_D_8419568,8419,stranger,block|caution,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_8419568.flac
LA_D_6984595,6984,stranger,block|caution,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_6984595.flac
LA_D_6921684,6921,stranger,block|caution,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_6921684.flac
LA_D_2630434,2630,stranger,block|caution,D:\VeriCall_data\ASVspoof2019_LA\LA\ASVspoof2019_LA_dev\flac\LA_D_2630434.flac
