path,engine,dialect,script_id,speaker_ref,difficulty_spoof_prob,verdict
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000096.wav,edgetts,mandarin,SC-000096,zh-CN-YunjianNeural,0.0124,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000386.wav,edgetts,mandarin,SC-000386,zh-CN-YunjianNeural,0.013,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000378.wav,edgetts,mandarin,SC-000378,zh-CN-YunjianNeural,0.014,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000214.wav,edgetts,mandarin,SC-000214,zh-CN-YunjianNeural,0.0145,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000238.wav,edgetts,mandarin,SC-000238,zh-CN-YunjianNeural,0.0146,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000462.wav,edgetts,mandarin,SC-000462,zh-CN-YunjianNeural,0.0148,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000286.wav,edgetts,mandarin,SC-000286,zh-CN-YunjianNeural,0.015,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000359.wav,edgetts,mandarin,SC-000359,zh-CN-YunjianNeural,0.0151,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000474.wav,edgetts,mandarin,SC-000474,zh-CN-YunjianNeural,0.0156,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000011.wav,edgetts,mandarin,SC-000011,zh-CN-YunxiNeural,0.0158,隐蔽(难检)
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-000011.wav,edgetts,sichuan,SC-000011,zh-CN-YunxiNeural,0.0158,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000269.wav,edgetts,mandarin,SC-000269,zh-CN-YunjianNeural,0.0159,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000007.wav,edgetts,mandarin,SC-000007,zh-CN-YunjianNeural,0.016,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000224.wav,edgetts,mandarin,SC-000224,zh-CN-YunjianNeural,0.016,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000496.wav,edgetts,mandarin,SC-000496,zh-CN-YunjianNeural,0.0161,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000449.wav,edgetts,mandarin,SC-000449,zh-CN-YunjianNeural,0.0164,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000464.wav,edgetts,mandarin,SC-000464,zh-CN-YunjianNeural,0.0165,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000397.wav,edgetts,mandarin,SC-000397,zh-CN-YunyangNeural,0.0167,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000009.wav,edgetts,mandarin,SC-000009,zh-CN-YunjianNeural,0.0168,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000235.wav,edgetts,mandarin,SC-000235,zh-CN-YunjianNeural,0.0169,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000194.wav,edgetts,mandarin,SC-000194,zh-CN-YunjianNeural,0.0172,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000456.wav,edgetts,mandarin,SC-000456,zh-CN-YunjianNeural,0.0173,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000025.wav,edgetts,mandarin,SC-000025,zh-CN-YunjianNeural,0.0175,隐蔽(难检)
data/redteam/factory/sovits_api/minnan/sovits_api_minnan_ref_boot_edgetts_minnan_zh-TW-HsiaoChenNeural_SC-000001_SC-000369.wav,sovits_api,minnan,SC-000369,ref_boot_edgetts_minnan_zh-TW-HsiaoChenNeural_SC-000001,0.0175,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000006.wav,edgetts,mandarin,SC-000006,zh-CN-YunjianNeural,0.0178,隐蔽(难检)
