path,engine,dialect,script_id,speaker_ref,difficulty_spoof_prob,verdict
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000534.wav,edgetts,mandarin,SC-000534,zh-CN-YunyangNeural,0.1922,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000586.wav,edgetts,mandarin,SC-000586,zh-CN-YunyangNeural,0.2184,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000729.wav,edgetts,mandarin,SC-000729,zh-CN-YunyangNeural,0.2304,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000923.wav,edgetts,mandarin,SC-000923,zh-CN-YunxiNeural,0.2358,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-002349.wav,edgetts,mandarin,SC-002349,zh-CN-YunxiNeural,0.2413,隐蔽(难检)
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-001233.wav,edgetts,sichuan,SC-001233,zh-CN-YunxiNeural,0.2466,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000133.wav,edgetts,mandarin,SC-000133,zh-CN-YunjianNeural,0.2542,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-004587.wav,edgetts,mandarin,SC-004587,zh-CN-YunxiNeural,0.2546,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-001406.wav,edgetts,mandarin,SC-001406,zh-CN-YunyangNeural,0.2593,隐蔽(难检)
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-005696.wav,edgetts,sichuan,SC-005696,zh-CN-YunxiNeural,0.2608,隐蔽(难检)
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000158.wav,edgetts,mandarin,SC-000158,zh-CN-YunyangNeural,0.2757,隐蔽(难检)
