id,expected,pred,risk
SC-006779,elder_healthcare,elder_healthcare,0.9
SC-003346,elder_healthcare,benign,0.1
SC-002289,elder_healthcare,elder_healthcare,0.95
SC-001663,elder_healthcare,elder_healthcare,0.95
SC-004720,elder_healthcare,elder_healthcare,0.9
SC-002661,elder_healthcare,elder_healthcare,0.95
SC-002465,elder_healthcare,elder_healthcare,0.95
SC-002010,elder_healthcare,elder_healthcare,0.85
SC-001690,elder_healthcare,elder_healthcare,0.95
SC-000973,elder_healthcare,elder_healthcare,0.9
SC-006194,elder_healthcare,elder_healthcare,0.95
SC-011207,elder_healthcare,elder_healthcare,0.95
SC-008062,elder_healthcare,elder_healthcare,0.95
SC-006636,elder_healthcare,elder_healthcare,0.9
SC-010742,elder_healthcare,elder_healthcare,0.95
SC-007045,elder_healthcare,fake_investment,0.95
SC-001578,elder_healthcare,elder_healthcare,0.95
SC-005481,elder_healthcare,elder_healthcare,0.95
SC-005782,elder_healthcare,elder_healthcare,0.95
SC-009907,elder_healthcare,elder_healthcare,0.95
SC-007947,elder_healthcare,fake_investment,0.9
SC-001159,elder_healthcare,elder_healthcare,0.95
SC-008181,elder_healthcare,impersonate_authority,0.9
SC-000077,elder_healthcare,fake_investment,0.9
SC-004691,elder_healthcare,elder_healthcare,0.9
SC-011614,elder_healthcare,elder_healthcare,0.95
SC-011287,elder_healthcare,benign,0.1
SC-010418,elder_healthcare,elder_healthcare,0.95
SC-004075,elder_healthcare,elder_healthcare,0.95
SC-006873,elder_healthcare,elder_healthcare,0.95
SC-009933,elder_healthcare,elder_healthcare,0.95
SC-009680,elder_healthcare,elder_healthcare,0.85
SC-009249,elder_healthcare,elder_healthcare,0.95
SC-003406,elder_healthcare,elder_healthcare,0.95
SC-005123,elder_healthcare,elder_healthcare,0.95
SC-004638,elder_healthcare,elder_healthcare,0.95
SC-000024,elder_healthcare,elder_healthcare,0.95
SC-011583,elder_healthcare,elder_healthcare,0.95
SC-003754,elder_healthcare,elder_healthcare,0.95
SC-001218,elder_healthcare,elder_healthcare,0.95
SC-011948,elder_healthcare,elder_healthcare,0.9
SC-001691,elder_healthcare,elder_healthcare,0.95
SC-008644,elder_healthcare,elder_healthcare,0.95
SC-010214,elder_healthcare,elder_healthcare,0.95
SC-010098,elder_healthcare,benign,0.1
SC-009708,elder_healthcare,elder_healthcare,0.95
SC-004831,elder_healthcare,elder_healthcare,0.9
SC-000730,elder_healthcare,elder_healthcare,0.95
SC-006192,elder_healthcare,benign,0.1
SC-007744,elder_healthcare,elder_healthcare,0.95
SC-001219,elder_healthcare,elder_healthcare,0.95
SC-001428,elder_healthcare,elder_healthcare,0.95
SC-001548,elder_healthcare,elder_healthcare,0.9
SC-005451,elder_healthcare,elder_healthcare,0.95
SC-000052,elder_healthcare,elder_healthcare,0.95
SC-006547,elder_healthcare,elder_healthcare,0.9
SC-003094,elder_healthcare,elder_healthcare,0.95
SC-006752,elder_healthcare,fake_investment,0.9
SC-006105,elder_healthcare,benign,0.1
SC-002437,elder_healthcare,elder_healthcare,0.95
SC-010769,elder_healthcare,elder_healthcare,0.95
SC-004808,elder_healthcare,elder_healthcare,0.95
SC-007422,elder_healthcare,elder_healthcare,0.95
