id,category,stage,text,confirm,reason
SC-000025,elder_healthcare,pressure,喂！你这病拖不得啊，再拖下去就真耽误治疗了！钱的事赶紧搞定，半小时内必须到账，不然我就直接报警！你听我说，这可不是闹着玩的，不然你就等着后悔吧！,keep,属pressure阶段威胁施压话术，符合医疗诈骗场景，虽未提具体病名但可成立。
SC-000115,fake_investment,opening,"喂，那个老李？哦！想起来了，上次在投资说明会见过的您，还记得不？  （这个版本保留了关键要素，增加了""喂""和""那个""等口语词，通过""哦！""体现对方恍然大悟的反应，用""还记得不""自然地引出确认记忆的要求，整体控制在30字左右，符合真实电话沟通的语感。）",keep,内容为投资类开场铺垫，口语自然，符合opening阶段要求。
SC-003068,romance_pig,opening,哎宝贝，我刚从手术台下来，累得不行了，第一个就想给你打个电话，听见你声音我心里才踏实。,keep,符合杀猪盘开场人设铺垫，营造亲密感，可作该类话术使用。
SC-003096,romance_pig,buildup,喂，是我啊，那个，我最近跟导师在搞一个养老床位预订的项目，特别稳，已经拿下来好几个社区了，我第一时间就想到你了，想带你赚点钱，真的，你听我说，以后咱们年底就能见面好好聚聚了。,keep,内容为投资理财类铺垫，提及项目稳、带赚钱，符合buildup阶段特征。
SC-003180,elder_healthcare,buildup,喂，您好，是赵先生吧？我是健康管理中心的王顾问啊，您之前那个体检报告，我们专家仔细看过了，说您这个情况啊，真得抓紧调理了，不能再拖。正好，我们这边有个内部原始股认购的机会，名额不多，您听我说，这个跟您的健康管理是绑定的，特别适合您。,drop,健康管理话术突转原始股认购，类别混杂且逻辑荒谬，真实电话不可能成立。
SC-003270,romance_pig,buildup,喂，是我啊，那个……我最近不是在跟着导师搞一个养老床位预订的项目嘛，挺稳当的，利润也厚，我这不想着带你一块儿赚点钱嘛，以后年底咱们不就能见上面了嘛，你说是不是？,keep,内容为投资类诈骗铺垫，符合buildup阶段特征，可成立。
SC-003308,fake_investment,opening,喂，老李啊？我老周，就上次社区那个免费体检，咱俩还唠嗑来着，你想想，就那个戴眼镜的。,keep,符合冒充熟人开场，情境铺垫自然，口语感强，可作opening使用。
SC-003378,elder_healthcare,pressure,喂！你这病真拖不得了，再拖就全耽误了！现在不治，马上就得瘫床上了你信不信？赶紧的！,keep,属医疗诈骗pressure阶段，威胁病情恶化施压，符合阶段特征。
SC-003528,impersonate_family,buildup,喂，那个，是我啊，我外孙他们单位领导刚来电话，说孩子突然犯病住院了，急需一笔钱交押金，我这正着急呢，可刚才有人骗我，把家里要还给平台的钱都套走了，你听我说，这事儿真耽误不得啊。,keep,符合冒充熟人诈骗开场，情境铺设合理，未直接索财属正常铺垫。
SC-003636,elder_healthcare,opening,喂，王阿姨啊，我是咱社区小李呀，这不刚给您报上名了嘛，咱社区组织免费体检，就这周六早上八点，您可千万别忘啦。,keep,符合冒充熟人/社区工作人员开场铺垫，情境自然，未直接索财属正常。
SC-003880,impersonate_family,opening,哎呀妈，我手机被老师收走了，这不是用同学的手机偷偷打给你嘛，你听出来是我了不？,keep,符合冒充熟人开场情境，口语自然，可作opening使用。
SC-004024,impersonate_family,buildup,喂，妈，是我啊……那个，我这边出了点急事，刚才在医院呢，现在人还在交警队这边，一时半会儿走不了，你听我说，别着急啊。,keep,冒充亲友类开场，情境铺设自然口语化，符合opening阶段要求。
SC-004106,elder_healthcare,opening,喂，是老李吗？我社区小王啊，那个，这不咱们街道组织那个免费体检嘛，我就寻思着给您报上名了，您到时候可一定得来啊。,keep,符合冒充熟人/社区工作人员开场铺垫，口语自然，属opening阶段合理话术。
SC-004249,romance_pig,opening,喂，亲爱的，在忙吗？我今儿个一整天都特别想你，你那边方便说话不？,keep,符合romance_pig开场铺垫，人设情境自然，口语感强。
SC-004254,impersonate_family,buildup,喂，是王阿姨吗？我这儿是市一院急诊科，您外孙同事刚打来电话，说他突发急病住院了，得先交一笔押金。可我这卡里突然被平台扣光了，您先帮我把钱垫上，回头他一定还您，您快点儿行吗？,drop,冒充医院急诊科却自称卡被扣光要求垫付，身份与诉求矛盾穿帮。
SC-004275,elder_healthcare,pressure,喂！你听说了没有？你这病再拖真不行了！都晚期了，马上就得动刀，再晚命都没了！,keep,内容为医疗诈骗施压阶段话术，威胁病情严重催促手术，符合pressure阶段特征。
SC-004281,impersonate_family,buildup,喂，是，那个，我刚才接到我女儿单位领导电话，说老张急病送医院了，我这脑子一懵，后来发现是骗子，可我已经把平台的钱转出去了，你听我说，这事可真急啊。,keep,内容为冒充熟人/领导诈骗的铺垫，虽未直接索财但符合opening情境设定。
SC-004331,elder_healthcare,opening,喂，阿姨啊，我是中安理财那边的小王，您还记得吧？那个，我们这周四搞了个专家义诊，专看您这岁数容易犯的那些毛病，您要是有空一定得来啊。,keep,内容为理财诈骗开场铺垫，以义诊为诱饵建立信任，符合类别与阶段。
SC-004695,romance_pig,opening,喂，亲爱的，在忙吗？我今儿个也不知道咋了，特别想你，手头那破事儿都不想干了。,keep,符合杀猪盘开场阶段人设与情感铺垫，口语自然，可作训练语料。
SC-004784,impersonate_family,buildup,喂，老王啊，是我！刚才我老伙计的辅导员打电话来，说孩子突然生病住院了，现在人给扣在酒店里，得先交钱才能转院，你听我说，这事急得很！,drop,内容与标注类别不符，疑似冒充熟人诈骗，且逻辑荒谬，辅导员扣人在酒店不成立。
SC-004863,romance_pig,buildup,喂，那个，我最近不是在跟着导师搞一个养老床位预订的项目嘛，挺稳的，好多人都抢着入，我寻思着带上你一起赚点钱，等攒够了咱俩以后在城里买房，你听懂我意思没？,keep,内容为杀猪盘铺垫，涉及项目投资和未来规划，符合类别特征。
SC-005010,romance_pig,opening,喂，宝贝，啊，是我，刚下手术台，第一个就想着给你打个电话，你听我说啊。,keep,符合杀猪盘开场人设铺垫，口语自然，未直接索财属正常开场。
SC-005187,impersonate_family,pressure,喂！你听说了吧，你家里人现在就在我边上坐着呢！今天二十四点前，钱不到位，我直接报警抓你，你信不信？马上！,keep,属pressure阶段威胁施压话术，与诈骗类别相符，可成立。
SC-005193,fake_investment,opening,喂，亲家母啊，我老周，就上次养生讲座坐你旁边那个，想起来了吧？,keep,符合冒充熟人诈骗开场，人设情境铺设自然，未直接索财属正常铺垫。
