kind,id,category,stage,near_boundary,verdict,reason
scam,SC-000052,elder_healthcare,ask,,drop,内容突兀，无身份铺垫，索要转账指向不明，不像真实诈骗话术。
scam,SC-000068,lottery_prize,opening,,drop,内容为积分兑换通知，无诈骗动作，与标注类别不符。
scam,SC-000080,romance_pig,buildup,,fix,内容像投资理财诈骗，但开头自称平台客服与漏洞诱导衔接生硬，需补充身份铺垫。
scam,SC-000115,fake_investment,opening,,drop,内容仅为寒暄确认身份，无诈骗动作指向，无法归类。
scam,SC-000124,lottery_prize,buildup,,fix,冒充税务局却称中奖，身份与话术矛盾，需统一为税务或中奖客服。
scam,SC-003011,elder_healthcare,buildup,,fix,体检报告与原始股认购关联生硬，需补充铺垫衔接。
scam,SC-003068,romance_pig,opening,,drop,内容为情感关怀，无诈骗动作，与标注类别不符。
scam,SC-003180,elder_healthcare,buildup,,fix,冒充健康顾问却推销原始股，类别混杂，需明确主类别或调整话术。
scam,SC-003204,lottery_prize,ask,,drop,内容混杂索要保证金与绑架威胁，类别不清且自相矛盾，无法对应单一诈骗类型。
scam,SC-003270,romance_pig,buildup,,drop,内容为模糊投资诱导，缺乏具体诈骗动作，与标注类别不符。
scam,SC-003308,fake_investment,opening,,drop,内容为普通熟人寒暄，无任何诈骗动作，与标注类别无关。
scam,SC-003477,fake_investment,opening,,drop,内容为冒充熟人套近乎，未涉及任何诈骗动作，与标注类别不符。
scam,SC-003495,elder_healthcare,ask,,drop,内容混杂推销与威胁，逻辑混乱，不像真实诈骗话术，且类别标注不明。
scam,SC-003528,impersonate_family,buildup,,drop,内容混乱，冒充亲属与遭遇诈骗混杂，索要对象不明，逻辑矛盾难用。
scam,SC-003636,elder_healthcare,opening,,drop,内容为正常社区通知，无诈骗动作，与标注类别不符。
scam,SC-003880,impersonate_family,opening,,drop,内容为日常通话，无任何诈骗动作或意图，与标注类别不符。
scam,SC-003932,elder_healthcare,buildup,,fix,开场铺垫尚可，但健康报告与理财推销关联生硬，需补充衔接话术增强自然度。
scam,SC-003933,elder_healthcare,pressure,,drop,内容空泛，未指向具体诈骗类别或索要动作，仅泛化催促，无法归类。
scam,SC-003987,elder_healthcare,buildup,,fix,开场提及体检报告，但未明确冒充身份，需补充医院或专家身份以增强类别契合。
scam,SC-004106,elder_healthcare,opening,,drop,内容为正常社区服务通知，无诈骗动作，与标注类别不符。
scam,SC-004136,elder_healthcare,buildup,,drop,内容前后矛盾，体检报告与原始股认购强行拼接，逻辑荒谬穿帮。
scam,SC-004218,elder_healthcare,buildup,,fix,冒充健康顾问却推销理财，身份与业务混杂需理顺；可改为理财顾问身份或删去体检铺垫。
scam,SC-004249,romance_pig,opening,,drop,内容为普通情感寒暄，无任何诈骗动作指向，与标注类别不符。
scam,SC-004254,impersonate_family,buildup,,drop,冒充医院但索要押金对象混乱，自称医生却让垫钱，逻辑矛盾穿帮。
scam,SC-004275,elder_healthcare,pressure,,drop,内容与标注类别无关，无具体诈骗动作，仅泛化恐吓，无法归入诈骗类型。
scam,SC-004281,impersonate_family,buildup,,drop,内容为受害者陈述被骗经历，非诈骗话术，与标注类别不符。
scam,SC-004331,elder_healthcare,opening,,drop,内容为健康义诊邀约，与理财诈骗无关，类别不契合。
scam,SC-004695,romance_pig,opening,,drop,内容为普通情感表达，无任何诈骗动作，与标注类别不符。
scam,SC-004784,impersonate_family,buildup,,drop,内容混乱矛盾，辅导员与酒店扣人逻辑不通，不像真实诈骗话术。
scam,SC-004863,romance_pig,buildup,,drop,内容为熟人投资邀请，非标注类别典型诈骗动作，且无索要资金等核心要素。
