kind,id,category,stage,near_boundary,verdict,reason
scam,SC-000025,elder_healthcare,pressure,,drop,内容空泛无具体诈骗指向，未涉及任何类别典型动作，无法归类。
scam,SC-000080,romance_pig,buildup,,fix,内容像投资理财诈骗，但开头自称客服身份模糊，需明确冒充平台客服或投资顾问。
scam,SC-000115,fake_investment,opening,,drop,内容仅为寒暄开场，无任何诈骗指向或类别特征，无法归入投资诈骗语料。
scam,SC-000124,lottery_prize,buildup,,fix,冒充税务局却称中奖，身份与话术矛盾，需统一为税务或中奖诈骗。
scam,SC-003011,elder_healthcare,buildup,,fix,前段像医疗推销，后段突转原始股认购，衔接生硬，需补过渡或明确类别。
scam,SC-003068,romance_pig,opening,,drop,内容为正常情感表达，无任何诈骗动作，与标注类别不符。
scam,SC-003096,romance_pig,buildup,,drop,内容为模糊投资诱导，缺乏具体诈骗动作，与标注类别及阶段不符。
scam,SC-003180,elder_healthcare,buildup,,drop,内容前后矛盾，健康管理话术突转原始股认购，类别混乱且不合逻辑。
scam,SC-003270,romance_pig,buildup,,drop,内容为普通投资邀约，无明确诈骗动作，与标注类别不符。
scam,SC-003308,fake_investment,opening,,drop,内容为普通寒暄，无诈骗动作，与标注类别不符。
scam,SC-003378,elder_healthcare,pressure,,drop,内容为泛化健康恐吓，未指向具体诈骗类别或索要动作，无法归类。
scam,SC-003528,impersonate_family,buildup,,drop,内容混杂冒充亲友与二次被骗，身份和诈骗动作混乱，非典型冒充亲友话术。
scam,SC-003636,elder_healthcare,opening,,drop,内容为正常社区通知，无诈骗动作，与标注类别不符。
scam,SC-003880,impersonate_family,opening,,drop,内容为日常通话，无诈骗动作，与标注类别不符。
scam,SC-003932,elder_healthcare,buildup,,fix,内容涉及健康报告与理财推销，但缺少明确诈骗动作，需补充索要转账或个人信息等环节。
scam,SC-003987,elder_healthcare,buildup,,fix,体检报告与理财话术衔接生硬，需补充身份铺垫使逻辑自然。
scam,SC-004024,impersonate_family,buildup,,drop,内容为冒充亲友求助，但未涉及任何索要钱财或具体诈骗动作，无法独立成条。
scam,SC-004106,elder_healthcare,opening,,drop,内容为正常社区服务通知，无任何诈骗动作，与标注类别不符。
scam,SC-004136,elder_healthcare,buildup,,fix,体检报告与原始股认购关联牵强，需补充话术衔接，避免逻辑突兀穿帮。
