path,engine,dialect,script_id,speaker_ref,difficulty_spoof_prob,verdict
data/redteam/factory/segments/edgetts/mandarin/seg_edgetts_mandarin_zh-CN-YunyangNeural_SC-000036_00.wav,edgetts,mandarin,SC-000036,zh-CN-YunyangNeural,0.0351,隐蔽(难检)
data/redteam/factory/segments/edgetts/mandarin/seg_edgetts_mandarin_zh-CN-YunjianNeural_SC-000335_00.wav,edgetts,mandarin,SC-000335,zh-CN-YunjianNeural,0.0371,隐蔽(难检)
data/redteam/factory/segments/edgetts/mandarin/seg_edgetts_mandarin_zh-CN-YunxiNeural_SC-000480_00.wav,edgetts,mandarin,SC-000480,zh-CN-YunxiNeural,0.0377,隐蔽(难检)
data/redteam/factory/segments/edgetts/mandarin/seg_edgetts_mandarin_zh-CN-YunjianNeural_SC-000470_00.wav,edgetts,mandarin,SC-000470,zh-CN-YunjianNeural,0.0389,隐蔽(难检)
data/redteam/factory/segments/edgetts/dongbei/seg_edgetts_dongbei_zh-CN-liaoning-XiaobeiNeural_SC-000820_03.wav,edgetts,dongbei,SC-000820,zh-CN-liaoning-XiaobeiNeural,0.0405,隐蔽(难检)
data/redteam/factory/segments/edgetts/mandarin/seg_edgetts_mandarin_zh-CN-YunyangNeural_SC-000474_01.wav,edgetts,mandarin,SC-000474,zh-CN-YunyangNeural,0.0423,隐蔽(难检)
data/redteam/factory/segments/edgetts/sichuan/seg_edgetts_sichuan_zh-CN-YunxiNeural_SC-000381_00.wav,edgetts,sichuan,SC-000381,zh-CN-YunxiNeural,0.0437,隐蔽(难检)
data/redteam/factory/segments/sovits_api/cantonese/seg_sovits_api_cantonese_ref_boot_edgetts_cantonese_zh-HK-WanLungNeural_SC-000005_seg8s_SC-000048_01.wav,sovits_api,cantonese,SC-000048,ref_boot_edgetts_cantonese_zh-HK-WanLungNeural_SC-000005_seg8s,0.0462,隐蔽(难检)
data/redteam/factory/segments/edgetts/mandarin/seg_edgetts_mandarin_zh-CN-YunxiNeural_SC-000235_00.wav,edgetts,mandarin,SC-000235,zh-CN-YunxiNeural,0.0466,隐蔽(难检)
data/redteam/factory/segments/edgetts/sichuan/seg_edgetts_sichuan_zh-CN-YunxiNeural_SC-000429_01.wav,edgetts,sichuan,SC-000429,zh-CN-YunxiNeural,0.0485,隐蔽(难检)
data/redteam/factory/segments/edgetts/mandarin/seg_edgetts_mandarin_zh-CN-YunjianNeural_SC-000371_00.wav,edgetts,mandarin,SC-000371,zh-CN-YunjianNeural,0.0486,隐蔽(难检)
data/redteam/factory/segments/edgetts/mandarin/seg_edgetts_mandarin_zh-CN-YunjianNeural_SC-000347_00.wav,edgetts,mandarin,SC-000347,zh-CN-YunjianNeural,0.0506,隐蔽(难检)
