id,acoustic,voiceprint,semantic,expected,ca,cv,cs
LA_D_2959188,1.0,0.0,0.05,block,1.0,0.85,0.7
LA_D_2959609,1.0,1.0,0.05,block,1.0,0.85,0.7
LA_D_1434598,0.049,0.0,0.05,allow,0.94,0.85,0.7
LA_D_1434059,1.0,0.53,0.05,block,1.0,0.85,0.7
LA_D_1434283,1.0,0.72,0.05,block,1.0,0.85,0.7
LA_D_5820162,0.997,0.1,0.05,block,1.0,0.85,0.7
LA_D_5820637,1.0,0.26,0.05,block,1.0,0.85,0.7
LA_D_5290031,0.999,0.92,0.05,block,1.0,0.85,0.7
LA_D_5290201,1.0,0.16,0.05,block,1.0,0.85,0.7
LA_D_4910268,1.0,0.0,0.05,block,1.0,0.85,0.7
LA_D_4910423,1.0,0.42,0.05,block,1.0,0.85,0.7
LA_D_3443703,0.0,0.0,0.05,allow,1.0,0.85,0.7
LA_D_3443299,1.0,0.21,0.05,block,1.0,0.85,0.7
LA_D_3443410,1.0,0.1,0.05,block,1.0,0.85,0.7
LA_D_2800113,0.0,0.0,0.05,allow,1.0,0.85,0.7
LA_D_2800343,1.0,0.0,0.05,block,1.0,0.85,0.7
LA_D_2800479,1.0,0.24,0.05,block,1.0,0.85,0.7
LA_D_2523101,1.0,0.26,0.05,block,1.0,0.85,0.7
LA_D_2523108,1.0,0.12,0.05,block,1.0,0.85,0.7
LA_D_8384015,0.997,0.0,0.05,block,1.0,0.85,0.7
LA_D_8384378,0.999,0.0,0.05,block,1.0,0.85,0.7
LA_D_1552199,1.0,0.66,0.05,block,1.0,0.85,0.7
LA_D_1552205,1.0,0.1,0.05,block,1.0,0.85,0.7
LA_D_1517076,0.0,0.0,0.05,allow,1.0,0.85,0.7
LA_D_1517231,0.001,0.64,0.05,allow,1.0,0.85,0.7
LA_D_1517144,1.0,0.26,0.05,block,1.0,0.85,0.7
LA_D_1517317,1.0,0.64,0.05,block,1.0,0.85,0.7
LA_D_2642581,1.0,0.0,0.05,block,1.0,0.85,0.7
LA_D_2642614,1.0,0.44,0.05,block,1.0,0.85,0.7
LA_D_4835175,1.0,0.0,0.05,block,1.0,0.85,0.7
LA_D_4835735,0.983,0.34,0.05,block,0.98,0.85,0.7
LA_D_5072627,0.0,0.0,0.05,allow,1.0,0.85,0.7
LA_D_5072579,0.959,0.0,0.05,block,0.95,0.85,0.7
LA_D_5072645,1.0,0.0,0.05,block,1.0,0.85,0.7
LA_D_9850214,1.0,1.0,0.05,block,1.0,0.85,0.7
LA_D_1461015,1.0,0.98,0.05,block,1.0,0.85,0.7
LA_D_1461462,1.0,1.0,0.05,block,1.0,0.85,0.7
LA_D_4486175,1.0,0.0,0.05,block,1.0,0.85,0.7
LA_D_4486700,0.989,0.11,0.05,block,0.99,0.85,0.7
LA_D_8342132,0.0,0.0,0.05,allow,1.0,0.85,0.7
LA_D_8342451,1.0,0.23,0.05,block,1.0,0.85,0.7
LA_D_8342458,1.0,0.26,0.05,block,1.0,0.85,0.7
LA_D_4864229,1.0,0.0,0.05,block,1.0,0.85,0.7
LA_D_4864665,1.0,0.29,0.05,block,1.0,0.85,0.7
LA_D_8867068,1.0,0.0,0.05,block,1.0,0.85,0.7
LA_D_8867212,0.994,0.0,0.05,block,0.99,0.85,0.7
LA_D_8419568,0.0,0.0,0.05,block|caution,1.0,0.85,0.7
LA_D_6984595,0.0,0.51,0.05,block|caution,1.0,0.85,0.7
LA_D_6921684,0.0,0.68,0.05,block|caution,1.0,0.85,0.7
LA_D_2630434,0.0,0.0,0.05,block|caution,1.0,0.85,0.7
